id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
30,cpro.dating,America's Singles,"Escargot Studios, LLC",Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=cpro.dating,http://cpromarket.com/privacy_policy,1
31,biatoka.camerapose,Pose Camera photo pose ideas,Bia Toka,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=biatoka.camerapose,https://sites.google.com/view/biatoka/home,1
32,cornero.bodyshapephotoeditor,Body Shape Photo Editor,cornero apps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=cornero.bodyshapephotoeditor,https://corneroapps.blogspot.com/2018/11/cornero-apps-privacy-policy.html,1
33,com.hubaapps.chat,HubChat,HuBa Apps,Dating,1K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.hubaapps.chat,https://sites.google.com/view/hubchatprivacypolicy/ana-sayfa,1
34,com.stylish.sunglasses.pictureditor.photoeditor.artappstudio,Stylish Glasses Photo Editor,4Art App Studio For Girls,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.stylish.sunglasses.pictureditor.photoeditor.artappstudio,https://sites.google.com/view/4artappstudioforgirls/home,1
35,com.beautyfacemakeup.photoeditor.selfiemakeover,Beauty Face Makeup Editor,BrosStudio18,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.beautyfacemakeup.photoeditor.selfiemakeover,https://brosstudio18.wixsite.com/mysite,1
36,com.sumeruskydevelopers.iplcricketsuitphoto,Cricket Photo Suit,Sumeru Sky Developer,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sumeruskydevelopers.iplcricketsuitphoto,https://sumeruskydevelopers.blogspot.com/2022/06/privacy-policy.html,1
37,kr.jungrammer.talktalk,Talk Talk - Random Chatting,gaga.chat,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=kr.jungrammer.talktalk,https://strangerchat.io/policy/privacy-en-gaga-chat.html,1
38,com.veronica.ramadan.mubarak.photoframes.stickers,Ramadan Photo Frame 2023,Veronica Sherwin,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.veronica.ramadan.mubarak.photoframes.stickers,https://sites.google.com/view/millionnewapps,1
39,com.never.die,Stranger Chat,RandomTalk,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.never.die,https://reve.s3.ap-northeast-2.amazonaws.com/privacy_en.html,1
